filename,drivingtype
p01_20221026_183003_n1_003_03_0001.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0001.png,정상
p01_20221026_183003_n1_003_03_0001.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0001.png,정상
p01_20221026_183003_n1_003_03_0001.png,정상
p01_20221026_183003_n1_003_03_0001.png,정상
p01_20221026_183003_n1_003_03_0001.png,정상
p01_20221026_183003_n1_003_03_0002.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0002.png,정상
p01_20221026_183003_n1_003_03_0002.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0002.png,정상
p01_20221026_183003_n1_003_03_0002.png,정상
p01_20221026_183003_n1_003_03_0002.png,정상
p01_20221026_183003_n1_003_03_0002.png,정상
p01_20221026_183003_n1_003_03_0003.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0003.png,정상
p01_20221026_183003_n1_003_03_0003.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0003.png,정상
p01_20221026_183003_n1_003_03_0003.png,정상
p01_20221026_183003_n1_003_03_0003.png,정상
p01_20221026_183003_n1_003_03_0003.png,정상
p01_20221026_183003_n1_003_03_0004.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0004.png,정상
p01_20221026_183003_n1_003_03_0004.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0004.png,정상
p01_20221026_183003_n1_003_03_0004.png,정상
p01_20221026_183003_n1_003_03_0004.png,정상
p01_20221026_183003_n1_003_03_0004.png,정상
p01_20221026_183003_n1_003_03_0005.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0005.png,정상
p01_20221026_183003_n1_003_03_0005.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0005.png,정상
p01_20221026_183003_n1_003_03_0005.png,정상
p01_20221026_183003_n1_003_03_0005.png,정상
p01_20221026_183003_n1_003_03_0005.png,정상
p01_20221026_183003_n1_003_03_0006.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0006.png,정상
p01_20221026_183003_n1_003_03_0006.png,방향지시등 이행
p01_20221026_183003_n1_003_03_0006.png,정상
p01_20221026_183003_n1_003_03_0006.png,정상
